,,,,,Number of,,Number of,,Number of,,Nurses and,,Hospital ,,Total expenditure,General government,Per capita total,Coverage of vital,,
,,,WHO,,physiciansa,,nurses and midwivesa,,health workersa,,midwives to physiciansa,,bedsa,, on healthb,expenditure on healthb,expenditure on healthb,registration of deathsc,,
,,Country,region,,(per 10 000),year,(per 10 000),year,(per 10 000),year,(ratio),year,(per 10 000),year,(% of gross domestic product),(% of total government expenditure),(international dollars),(%),year,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2002,2002,2002,,,
,,,,,,,,,,,,,,,,,,,,
1,,Afghanistan,EMR,,1.9,2001,2.2,2001,4.1,2001,1.2,2001,4,2001,8.0,23.1, 34,<25,2002,
2,,Albania,EUR,,13.3,2002,37.0,2003,50.3,2003,2.8,2003,31,2003,6.1,8.1, 302,94,2003,
3,,Algeria,AFR,,8.5,1995,29.8,1995,38.2,1995,3.5,1995,…,…,4.3,9.1, 182,76,2000,
4,,Andorra,EUR,,35.0,2003,30.8,2003,65.8,2003,0.9,2003,33,2003,6.5,26.6,1 908,46,2000,
5,,Angola,AFR,,0.8,1997,11.9,1997,12.7,1997,15.4,1997,…,…,5.0,4.1, 92,<25,2002,
6,,Antigua and Barbuda,AMR,,10.5,1999,33.2,1999,43.7,1999,3.2,1999,25,2003,4.8,14.1, 527,>75,1995,
7,,Argentina,AMR,,30.4,1998,5.9,1998,36.3,1998,0.2,1998,41,2000,8.9,15.3, 956,100,2002,
8,,Armenia,EUR,,34.2,2003,45.9,2003,80.1,2003,1.3,2003,44,2003,5.8,6.0, 232,78,2003,
9,,Australia,WPR,,24.7,2001,91.2,2002,115.9,2002,3.7,2002,40,2001,9.5,17.1,2 699,100,2001,
10,,Austria,EUR,,33.8,2003,62.2,2003,96.0,2003,1.8,2003,83,2003,7.7,10.5,2 220,100,2003,
11,,Azerbaijan,EUR,,36.1,2003,84.2,2003,120.3,2003,2.3,2003,83,2003,3.7,2.9, 120,72,2002,
12,,Bahamas,AMR,,16.7,2002,23.8,2002,40.5,2002,1.4,2002,34,2002,6.9,14.6,1 074,88,2000,
13,,Bahrain,EMR,,18.5,2003,45.7,2003,64.2,2003,2.5,2003,28,2003,4.4,9.5, 792,90,2001,
14,,Bangladesh,SEAR,,2.5,2001,2.4,2001,4.9,2001,1.0,2001,3,1999,3.1,4.4, 54,<25,2002,
15,,Barbados,AMR,,13.7,1999,51.2,1999,64.9,1999,3.7,1999,21,2002,6.9,12.3,1 018,100,2000,
16,,Belarus,EUR,,45.6,2003,121.8,2003,167.4,2003,2.7,2003,113,2003,6.4,10.5, 583,98,2003,
17,,Belgium,EUR,,44.8,2002,113.9,1996,158.7,1996/02,2.5,1996/02,70,2001,9.1,12.8,2 515,100,1997,
18,,Belize,AMR,,10.2,2000,12.3,2000,22.5,2000,1.2,2000,13,2003,5.2,5.3, 300,100,2000,
19,,Benin,AFR,,0.6,1995,2.8,1995,3.4,1995,4.9,1995,…,…,4.7,11.1, 44,<25,2002,
20,,Bhutan,SEAR,,1.7,2001,2.3,1999,4.0,1999/01,1.4,1999/01,16,1999,4.5,12.0, 76,<25,2002,
21,,Bolivia,AMR,,7.6,2001,3.2,2001,10.8,2001,0.4,2001,10,2003,7.0,11.6, 179,<25,2002,
22,,Bosnia and Herzegovina,EUR,,14.6,2003,48.3,2003,62.9,2003,3.3,2003,31,2003,9.2,8.8, 322,88,1999,
23,,Botswana,AFR,,2.9,1999,24.1,1999,27.0,1999,8.4,1999,…,…,6.0,7.5, 387,22,1998,
24,,Brazil,AMR,,20.6,2001,5.2,2001,25.8,2001,0.3,2001,27,2002,7.9,10.1, 611,79,2000,
25,,Brunei Darussalam,WPR,,10.1,2000,60.7,2002,70.8,2000/02,6.0,2000/02,26,2000,3.5,4.7, 653,100,2000,
26,,Bulgaria,EUR,,36.0,2003,42.3,2003,78.3,2003,1.2,2003,63,2003,7.4,10.1, 499,100,2003,
27,,Burkina Faso,AFR,,0.4,2001,3.0,2001,3.4,2001,7.5,2001,…,…,4.3,10.6, 38,<25,2002,
28,,Burundi,AFR,,0.5,2000,2.8,2000,3.4,2000,5.5,2000,…,…,3.0,2.0, 16,<25,2002,
29,,Cambodia,WPR,,1.6,2000,8.5,2000,10.0,2000,5.5,2000,5,2001,12.0,18.6, 192,<25,2002,
30,,Cameroon,AFR,,0.7,1996,3.7,1996,4.5,1996,5.0,1996,…,…,4.6,7.9, 68,<25,2002,
31,,Canada,AMR,,18.9,2002,73.5,2002,92.4,2002,3.9,2002,44,2002,9.6,15.9,2 931,100,2001,
32,,Cape Verde,AFR,,1.7,1996,5.6,1996,7.3,1996,3.3,1996,…,…,5.0,11.1, 193,...,…,
33,,Central African Republic,AFR,,0.4,1995,1.4,1995,1.7,1995,3.9,1995,…,…,3.9,7.4, 50,<25,2002,
34,,Chad,AFR,,0.3,2001,1.7,2001,2.0,2001,6.7,2001,…,…,6.5,12.2, 47,<25,2002,
35,,Chile,AMR,,11.5,1998,6.6,2003,18.1,1998/03,0.6,1998/03,26,2002,5.8,10.2, 642,98,2002,
36,,China,WPR,,16.4,2002,9.6,2003,26.0,2002/03,0.6,2002/03,25,2002,5.8,10.0, 261,8,2000,
37,,Colombia,AMR,,12.7,2003,6.1,2003,18.8,2003,0.5,2003,11,2003,8.1,20.4, 536,79,1999,
38,,Comoros,AFR,,0.7,1997,4.8,1997,5.6,1997,6.5,1997,…,…,2.9,8.2, 27,<25,2002,
39,,Congo,AFR,,2.5,1995,21.0,1995,23.5,1995,8.4,1995,…,…,2.2,6.0, 25,<25,2002,
40,,Cook Islands,WPR,,7.7,2001,38.0,2002,45.7,2001/02,5.0,2001/02,71,2001,4.6,11.6, 697,>75,2001,
41,,Costa Rica,AMR,,16.0,2000,3.2,2000,19.2,2000,0.2,2000,14,2003,9.3,24.4, 743,79,2002,
42,,Côte d'Ivoire ,AFR,,0.9,1996,4.6,1996,5.5,1996,5.1,1996,…,…,6.2,7.2, 107,<25,2002,
43,,Croatia,EUR,,24.4,2003,53.7,2003,78.0,2003,2.2,2003,56,2003,7.3,12.0, 630,99,2003,
44,,Cuba,AMR,,60.4,2003,71.4,2003,131.8,2003,1.2,2003,49,2003,7.5,11.3, 236,96,2002,
45,,Cyprus,EUR,,26.3,2002,42.2,2002,68.5,2002,1.6,2002,44,2002,7.0,6.8, 883,83,2003,
46,,Czech Republic,EUR,,35.2,2003,102.1,2003,137.3,2003,2.9,2003,86,2003,7.0,14.7,1 118,100,2003,
47,,Democratic People's Republic of Korea,SEAR,,32.0,2001,24.0,1995,56.0,1995/01,0.8,1995/01,136,1995,4.6,5.0, 57,<25,2002,
48,,Democratic Republic of the Congo,AFR,,0.7,1996,4.4,1996,5.1,1996,6.4,1996,…,…,4.1,16.4, 15,<25,2002,
49,,Denmark,EUR,,29.1,2002,74.2,2002,103.3,2002,2.5,2002,41,2002,8.8,13.1,2 583,100,2000,
50,,Djibouti,EMR,,1.6,2002,8.0,2002,9.6,2002,5.0,2002,16,2000,6.3,10.1, 78,<25,2002,
51,,Dominica,AMR,,4.9,1999,41.6,1997,46.5,1997/99,8.5,1997/99,39,2002,6.4,12.2, 310,>75,1999,
52,,Dominican Republic,AMR,,19.0,1999,3.0,1999,22.0,1999,0.2,1999,21,2003,6.1,11.7, 295,49,1999,
53,,Ecuador,AMR,,16.4,2001,6.1,2001,22.5,2001,0.4,2001,15,2002,4.8,8.8, 197,76,2000,
54,,Egypt,EMR,,22.2,2003,26.5,2003,48.7,2003,1.2,2003,22,2003,4.9,6.0, 192,80,2000,
55,,El Salvador,AMR,,12.6,2002,8.1,2002,20.7,2002,0.6,2002,7,2002,8.0,22.8, 372,73,1999,
56,,Equatorial Guinea,AFR,,2.5,1996,4.2,1996,6.6,1996,1.7,1996,…,…,1.8,9.8, 139,<25,2002,
57,,Eritrea,AFR,,0.3,1996,1.8,1996,2.1,1996,6.1,1996,…,…,5.1,5.6, 36,<25,2002,
58,,Estonia,EUR,,31.4,2002,67.3,2002,98.7,2002,2.1,2002,60,2002,5.1,11.0, 604,100,2002,
59,,Ethiopia,AFR,,0.3,2002,2.1,2002,2.3,2002,7.2,2002,…,…,5.7,7.6, 21,<25,2002,
60,,Fiji,WPR,,4.5,2003,19.8,2003,24.3,2003,4.4,2003,26,1999,4.2,7.5, 240,100,2000,
61,,Finland,EUR,,31.9,2003,221.9,2003,253.8,2003,7.0,2003,72,2003,7.3,11.0,1 943,100,2003,
62,,France,EUR,,33.5,2003,73.0,2003,106.5,2003,2.2,2003,78,2002,9.7,13.8,2 736,100,2000,
63,,Gabon,AFR,,2.9,1995,…,…,…,…,…,…,…,…,4.3,6.3, 248,<25,2002,
64,,Gambia,AFR,,0.4,1997,2.1,1997,2.4,1997,5.9,1997,…,…,7.3,12.0, 83,<25,2002,
65,,Georgia,EUR,,48.4,2003,44.6,2003,93.0,2003,0.9,2003,42,2003,3.8,5.8, 123,64,2001,
66,,Germany,EUR,,33.7,2003,100.5,2002,134.2,2002,3.0,2002,89,2002,10.9,17.6,2 817,100,2001,
67,,Ghana,AFR,,0.9,2002,8.4,2002,9.3,2002,9.3,2002,...,…,5.6,8.4, 73,<25,1999,
68,,Greece,EUR,,45.3,2001,31.0,1995,76.4,1995/01,0.7,1995/01,49,2000,9.5,10.8,1 814,90,2001,
69,,Grenada,AMR,,8.1,1999,19.5,1999,27.6,1999,2.4,1999,57,2003,5.7,14.7, 465,77,1996,
70,,Guatemala,AMR,,9.5,2003,3.6,2003,13.1,2003,0.4,2003,5,2002,4.8,16.6, 199,86,1999,
71,,Guinea,AFR,,0.9,2000,4.7,2000,5.6,2000,5.0,2000,…,…,5.8,4.8, 105,<25,2002,
72,,Guinea-Bissau,AFR,,1.7,1996,12.2,1996,13.9,1996,7.4,1996,…,…,6.3,8.5, 38,<25,2002,
73,,Guyana,AMR,,2.6,1999,8.6,1999,11.2,1999,3.3,1999,29,2001,5.6,11.1, 227,74,1996,
74,,Haiti,AMR,,2.5,1999,1.1,1999,3.6,1999,0.4,1999,8,2000,7.6,23.8, 83,7,1999,
75,,Honduras,AMR,,8.7,1999,3.2,2000,11.9,1999/00,0.4,1999/00,10,2002,6.2,14.0, 156,...,…,
76,,Hungary,EUR,,32.5,2003,88.3,2003,120.7,2003,2.7,2003,78,2003,7.8,10.4,1 078,100,2003,
77,,Iceland,EUR,,36.2,2003,99.4,2003,135.7,2003,2.7,2003,76,2002,9.9,18.1,2 802,91,2001,
78,,India,SEAR,,5.9,2003,7.9,2003,13.8,2003,1.3,2003,9,2003,6.1,4.4, 96,<25,2000,
79,,Indonesia,SEAR,,1.1,1998,4.9,2000,6.0,1998/00,4.5,1998/00,60,1998,3.2,5.4, 110,<25,2002,
80,,Iran (Islamic Republic of),EMR,,11.9,2001,16.1,2001,28.0,2001,1.4,2001,16,2001,6.0,9.0, 432,38,2001,
81,,Iraq,EMR,,6.3,2003,12.1,2003,18.4,2003,1.9,2003,13,2003,1.5,0.7, 44,<25,2002,
82,,Ireland,EUR,,25.8,2003,185.2,2003,211.0,2003,7.2,2003,35,2003,7.3,16.4,2 367,98,2001,
83,,Israel,EUR,,36.7,2003,62.0,2003,98.7,2003,1.7,2003,61,2003,9.1,10.9,1 890,100,2000,
84,,Italy,EUR,,61.9,2002,44.6,1999,106.5,1999/02,0.7,1999/02,41,2003,8.5,13.3,2 166,98,2001,
85,,Jamaica,AMR,,8.5,2003,16.5,2003,25.0,2003,1.9,2003,14,2003,6.0,5.9, 234,...,…,
86,,Japan,WPR,,20.1,2000,86.3,2000,106.5,2000,4.3,2000,147,2000,7.9,17.0,2 133,100,2002,
87,,Jordan,EMR,,22.6,2003,29.5,2003,52.1,2003,1.3,2003,17,2003,9.3,12.5, 418,...,…,
88,,Kazakhstan,EUR,,36.6,2003,67.6,2003,104.2,2003,1.8,2003,77,2003,3.5,8.9, 261,79,2003,
89,,Kenya,AFR,,1.3,1995,9.0,1995,10.3,1995,6.8,1995,…,…,4.9,8.4, 70,<10,1999,
90,,Kiribati,WPR,,2.2,2004,30.1,2004,32.3,2004,13.7,2004,18,1998,8.0,10.2, 141,>75,2002,
91,,Kuwait,EMR,,16.0,2002,42.0,2002,58.0,2002,2.6,2002,22,2002,3.8,5.6, 552,90,2002,
92,,Kyrgyzstan,EUR,,25.7,2003,68.3,2003,94.0,2003,2.7,2003,53,2003,4.3,10.2, 117,71,2003,
93,,Lao People's Democratic Republic,WPR,,5.9,1996,10.3,1996,16.2,1996,1.7,1996,12,2002,2.9,8.7, 49,<25,2002,
94,,Latvia,EUR,,29.8,2003,54.3,2003,84.2,2003,1.8,2003,78,2003,5.1,9.3, 477,100,2003,
95,,Lebanon,EMR,,28.1,2002,11.6,2002,39.7,2002,0.4,2002,30,2001,11.5,9.1, 697,19,1999,
96,,Lesotho,AFR,,0.5,1995,10.7,1995,11.3,1995,19.8,1995,…,…,6.2,10.9, 119,<25,2002,
97,,Liberia,AFR,,0.2,1997,1.0,1997,1.3,1997,4.4,1997,…,…,2.1,5.5, 11,<25,2002,
98,,Libyan Arab Jamahiriya,EMR,,12.1,2002,50.0,2002,62.1,2002,4.1,2002,39,2002,3.3,5.0, 222,<25,2002,
99,,Lithuania,EUR,,39.6,2003,79.2,2003,118.8,2003,2.0,2003,87,2003,5.9,14.0, 549,100,2003,
100,,Luxembourg,EUR,,26.8,2003,94.8,2003,121.6,2003,3.5,2003,68,2003,6.2,12.0,3 066,100,2003,
101,,Madagascar,AFR,,0.9,2001,2.8,2001,3.6,2001,3.2,2001,…,…,2.1,8.0, 18,<25,2002,
102,,Malawi,AFR,,0.1,2003,2.6,2003,2.7,2003,22.6,2003,…,…,9.8,9.7, 48,<25,2002,
103,,Malaysia,WPR,,7.0,2000,18.1,2002,25.1,2002,2.6,2002,19,2001,3.8,6.9, 349,40,1998,
104,,Maldives,SEAR,,8.4,2000,12.3,2000,20.7,2000,1.5,2000,17,2000,5.8,12.5, 307,42,2003,
105,,Mali,AFR,,0.4,2000,1.5,2000,1.9,2000,3.4,2000,…,…,4.5,9.0, 33,<25,2002,
106,,Malta,EUR,,31.5,2003,60.8,2003,92.3,2003,1.9,2003,48,2003,9.7,14.3, 965,100,2003,
107,,Marshall Islands,WPR,,4.7,2000,29.3,2000,34.0,2000,6.2,2000,21,1999,10.6,10.9, 415,53,1997,
108,,Mauritania,AFR,,1.4,1995,7.3,1995,8.6,1995,5.3,1995,…,…,3.9,10.1, 54,<25,2002,
109,,Mauritius,AFR,,8.5,1995,23.3,1995,31.8,1995,2.7,1995,…,…,2.9,8.3, 317,100,2002,
110,,Mexico,AMR,,17.1,2001,10.8,1999,27.9,1999/01,0.6,1999/01,11,2002,6.1,16.6, 550,96,2001,
111,,Micronesia (Federated States of ) ,WPR,,6.0,2000,22.9,2003,28.9,2000/03,3.8,2000/03,31,2000,6.5,8.8, 311,<25,2002,
112,,Monaco,EUR,,…,…,…,…,…,…,…,…,196,1995,11.0,14.6,4 258,...,…,
113,,Mongolia,WPR,,26.7,2002,34.2,2002,60.9,2002,1.3,2002,…,2002,6.6,10.6, 128,86,2003,
114,,Morocco,EMR,,5.2,2002,9.0,2002,14.2,2002,1.7,2002,8,2002,4.6,4.9, 186,34,1997,
115,,Mozambique,AFR,,0.2,2000,2.8,2000,3.1,2000,11.7,2000,…,…,5.8,19.9, 50,<25,1997,
116,,Myanmar,SEAR,,3.0,2000,4.8,2000,7.8,2000,1.6,2000,6,2000,2.2,2.3, 30,<25,2000,
117,,Namibia,AFR,,3.0,1997,28.5,1997,31.4,1997,9.6,1997,…,…,6.7,12.9, 331,<25,2002,
118,,Nauru,WPR,,5.0,2004,50.0,2004,55.0,2004,10.0,2004,…,…,7.6,9.2,1 334,50,1996,
119,,Nepal,SEAR,,1.6,2002,2.6,2001,4.2,2001/02,1.6,2001/02,2,1999,5.2,7.5, 64,<25,2002,
120,,Netherlands,EUR,,31.5,2002,137.9,2003,169.4,2002/03,4.4,2002/03,46,2002,8.8,12.2,2 564,100,2003,
121,,New Zealand,WPR,,22.3,2001,90.3,2003,112.6,2001/03,4.1,2001/03,61,2002,8.5,15.5,1 857,99,2000,
122,,Nicaragua,AMR,,16.4,2003,1.4,1999,17.8,1999/03,0.1,1999/03,9,2003,7.9,15.2, 206,59,2002,
123,,Niger,AFR,,0.3,2002,2.7,2002,3.0,2002,8.1,2002,…,…,4.0,10.0, 27,<25,2002,
124,,Nigeria,AFR,,2.7,2000,…,…,...,…,…,…,…,…,4.7,3.3, 43,<25,2002,
125,,Niue,WPR,,18.2,2003,100.4,2003,118.6,2003,5.5,2003,130,1996,9.7,16.0, 149,>75,2000,
126,,Norway,EUR,,31.1,2003,152.3,2003,183.4,2003,4.9,2003,43,2003,9.6,18.1,3 409,98,2002,
127,,Oman,EMR,,13.9,2002,32.5,2002,46.4,2002,2.3,2002,20,2002,3.4,7.3, 379,71,2001,
128,,Pakistan,EMR,,7.3,2003,4.7,2003,12.0,2003,0.6,2003,7,2003,3.2,3.2, 62,<25,2002,
129,,Palau,WPR,,10.9,1998,15.0,1998,25.9,1998,1.4,1998,50,1998,9.1,11.4, 730,>75,1999,
130,,Panama,AMR,,12.8,2001,10.8,2001,23.6,2001,0.8,2001,25,2002,8.9,23.1, 576,87,2002,
131,,Papua New Guinea,WPR,,0.5,2000,5.5,2000,6.0,2000,10.6,2000,…,…,4.3,13.0, 136,...,…,
132,,Paraguay,AMR,,5.6,2002,2.2,2002,7.8,2002,0.4,2002,12,2002,8.4,17.5, 343,74,2000,
133,,Peru,AMR,,11.7,2000,8.0,2000,19.7,2000,0.7,2000,14,2003,4.4,12.4, 226,51,2000,
134,,Philippines,WPR,,11.6,2002,61.4,2002,73.0,2002,5.3,2002,10,2001,2.9,4.7, 153,85,1998,
135,,Poland,EUR,,23.0,2002,54.3,2003,77.3,2003,2.4,2003,56,2002,6.1,9.8, 657,100,2002,
136,,Portugal,EUR,,32.6,2002,40.3,2003,72.9,2003,1.2,2003,36,2002,9.3,14.2,1 702,100,2002,
137,,Qatar,EMR,,23.5,2002,54.8,2002,78.3,2002,2.3,2002,24,2002,3.1,6.8, 894,83,2001,
138,,Republic of Korea,WPR,,18.1,2000,40.1,2002,58.2,2002,2.2,2002,61,2000,5.0,10.7, 982,90,2002,
139,,Republic of Moldova ,EUR,,31.1,2003,74.3,2003,105.4,2003,2.4,2003,67,2003,7.0,12.9, 151,83,2003,
140,,Romania,EUR,,19.6,2003,42.5,2003,62.1,2003,2.2,2003,66,2003,6.3,12.7, 469,100,2002,
141,,Russian Federation,EUR,,42.5,2003,85.1,2003,127.6,2003,2.0,2003,105,2003,6.2,9.5, 535,97,2003,
142,,Rwanda,AFR,,0.2,2002,2.1,2002,2.3,2002,11.3,2002,…,…,5.5,13.4, 48,<25,2002,
143,,Saint Kitts and Nevis,AMR,,11.7,2002,49.8,1999,61.5,1999,4.3,1999,55,2003,5.5,9.7, 667,>75,1997,
144,,Saint Lucia,AMR,,5.8,1999,22.6,1999,28.4,1999,3.9,1999,32,2002,5.0,11.5, 306,100,2001,
145,,Saint Vincent and the Grenadines,AMR,,6.9,2002,19.8,2002,26.7,2002,2.9,2002,45,2003,5.9,11.9, 340,99,1999,
146,,Samoa,WPR,,2.4,2002,19.6,2002,22.0,2002,8.0,2002,33,2000,6.2,13.9, 238,28,2002,
147,,San Marino,EUR,,…,…,…,…,…,…,…,…,…,…,7.7,20.4,3 094,>75,2000,
148,,Sao Tome and Principe,AFR,,4.7,1996,15.7,1996,20.4,1996,3.4,1996,…,…,11.1,14.5, 108,...,…,
149,,Saudi Arabia,EMR,,15.3,2001,32.3,2001,47.6,2001,2.1,2001,22,2001,4.3,11.6, 534,31,2002,
150,,Senegal,AFR,,0.8,1995,2.9,1995,3.6,1995,3.8,1995,…,…,5.1,11.2, 62,<25,2002,
151,,Serbia and Montenegro,EUR,,26.8,2002,63.8,2002,90.6,2002,2.4,2002,60,2002,8.1,10.7, 305,90,2002,
152,,Seychelles,AFR,,13.2,1996,86.2,1996,99.5,1996,6.5,1996,…,…,5.2,6.6, 557,>75,2000,
153,,Sierra Leone,AFR,,0.7,1996,3.8,1996,4.5,1996,5.2,1996,…,…,2.9,6.8, 27,<25,2002,
154,,Singapore,WPR,,14.0,2001,44.5,2003,58.5,2003,3.2,2003,29,2001,4.3,5.9,1 105,82,2002,
155,,Slovakia,EUR,,31.8,2003,70.4,2003,102.2,2003,2.2,2003,73,2003,5.9,10.3, 723,100,2002,
156,,Slovenia,EUR,,22.4,2002,71.8,2002,94.2,2002,3.2,2002,50,2003,8.3,14.7,1 547,100,2003,
157,,Solomon Islands,WPR,,1.3,2003,13.7,2003,15.0,2003,11.0,2003,19,2003,4.8,11.8, 83,28,1999,
158,,Somalia,EMR,,0.4,1997,2.0,1997,2.4,1997,5.0,1997,4,1997,…,…,…,<25,2002,
159,,South Africa,AFR,,6.9,2001,38.8,2001,45.7,2001,5.6,2001,…,…,8.7,10.7, 689,47,1996,
160,,Spain,EUR,,30.1,2002,36.7,2000,66.8,2000/02,1.2,2000/02,36,2001,7.6,13.6,1 640,100,2001,
161,,Sri Lanka,SEAR,,3.7,2002,7.9,2000,11.6,2000/02,2.1,2000/02,22,1999,3.7,6.0, 131,74,1996,
162,,Sudan,EMR,,1.7,2002,8.0,2001,9.7,2001/02,4.7,2001/02,7,2002,4.9,6.3, 58,<25,2002,
163,,Suriname,AMR,,5.0,1999,16.2,2000,21.2,1999/00,3.2,1999/00,36,2001,8.6,10.3, 385,...,…,
164,,Swaziland,AFR,,1.8,2000,32.0,2000,33.8,2000,18.2,2000,…,…,6.0,10.9, 309,<25,2002,
165,,Sweden,EUR,,32.6,2002,108.7,2002,141.3,2002,3.3,2002,52,1997,9.2,13.5,2 512,100,2001,
166,,Switzerland,EUR,,36.2,2002,85.8,2000,122.0,2000,2.4,2000,60,2002,11.2,18.7,3 446,100,2001,
167,,Syrian Arab Republic,EMR,,14.3,2003,18.8,2003,33.1,2003,1.3,2003,15,2003,5.1,6.5, 109,100,2000,
168,,Tajikistan,EUR,,19.3,2003,49.2,2003,68.6,2003,2.5,2003,61,2003,3.3,5.7, 47,50,2001,
169,,Thailand,SEAR,,3.0,1999,16.2,1999,19.2,1999,5.4,1999,22,1999,4.4,17.1, 321,91,2002,
170,,The former Yugoslav Republic of Macedonia,EUR,,21.9,2001,59.0,2001,80.9,2001,2.7,2001,49,2002,6.8,14.0, 341,90,2003,
171,,Timor-Leste,SEAR,,0.6,2002,11.5,2002,12.1,2002,18.1,2002,…,…,9.7,9.0, 195,<25,2002,
172,,Togo,AFR,,0.6,2001,2.4,2001,3.0,2001,4.3,2001,…,…,10.5,7.8, 163,<10,2001,
173,,Tonga,WPR,,3.4,2001,34.4,2002,37.8,2001/02,10.0,2001/02,32,2001,6.9,15.8, 292,<75,1998,
174,,Trinidad and Tobago,AMR,,7.5,1999,28.7,1999,36.2,1999,3.8,1999,34,2001,3.7,5.7, 428,92,1998,
175,,Tunisia,EMR,,8.1,2002,30.2,2002,38.3,2002,3.7,2002,17,2002,5.8,7.5, 415,6,1999,
176,,Turkey,EUR,,13.7,2002,30.4,2002,44.0,2002,2.2,2002,26,2003,6.5,10.3, 420,43,1998,
177,,Turkmenistan,EUR,,30.0,1997,70.2,2003,100.3,1997/03,2.3,1997/03,71,1997,4.3,12.1, 182,76,1998,
178,,Tuvalu,WPR,,5.7,2002,41.8,2003,47.6,2002/03,7.3,2002/03,56,2001,4.4,1.5, 77,>75,2000,
179,,Uganda,AFR,,0.5,2002,0.9,2002,1.4,2002,1.9,2002,…,…,7.4,9.1, 77,<25,2002,
180,,Ukraine,EUR,,30.1,2003,82.8,2003,112.8,2003,2.8,2003,88,2003,4.7,9.4, 210,99,2003,
181,,United Arab Emirates,EMR,,16.9,2002,35.2,2002,52.1,2002,2.1,2002,22,2002,3.1,7.3, 750,65,2000,
182,,United Kingdom,EUR,,21.3,2001,54.0,2003,75.2,2001/03,2.5,2001/03,42,1997,7.7,15.8,2 160,100,2002,
183,,United Republic of Tanzania,AFR,,0.2,2002,3.7,2002,3.9,2002,16.2,2002,…,…,4.9,14.9, 31,<25,2002,
184,,United States of America,AMR,,27.9,1999,97.2,1999,125.1,1999,3.5,1999,34,2002,14.6,23.1,5 274,100,2001,
185,,Uruguay,AMR,,39.0,2003,8.7,2003,47.7,2003,0.2,2003,19,2003,10.0,7.9, 805,100,2000,
186,,Uzbekistan,EUR,,28.0,2003,108.5,2003,136.5,2003,3.9,2003,55,2003,5.5,6.8, 143,80,2002,
187,,Vanuatu,WPR,,1.4,2004,16.8,2004,18.2,2004,12.4,2004,31,2001,3.8,12.8, 121,12,2000,
188,,Venezuela,AMR,,20.0,2001,7.9,1999,27.9,1999/01,0.4,1999/01,8,2001,4.9,8.0, 272,97,2000,
189,,Viet Nam,WPR,,5.7,2002,7.7,2002,13.4,2002,1.4,2002,24,2001,5.2,6.1, 148,<25,2002,
190,,Yemen,EMR,,2.2,2001,4.5,2001,6.7,2001,2.0,2001,6,2001,3.7,3.5, 58,<25,2002,
191,,Zambia,AFR,,0.7,1995,11.3,1995,12.0,1995,16.4,1995,…,…,5.8,11.3, 51,17,2000,
192,,Zimbabwe,AFR,,0.6,2002,5.4,2002,6.0,2002,9.4,2002,…,…,8.5,12.2, 152,36,2001,
,,,,,,,,,,,,,,,,,,,,
,,Region,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,African Region,AFR,,1.8,,8.8,,10.6,,4.9,,…,,5.4,9.0, 101,…,,
,,Region of the Americas,AMR,,21.8,,40.8,,62.6,,1.9,,26,,9.7,16.8,2 221,…,,
,,South-East Asia Region,SEAR,,5.0,,7.4,,12.4,,1.5,,17,,5.2,5.1, 101,…,,
,,European Region,EUR,,33.1,,72.0,,105.1,,2.2,,67,,7.4,12.0,1 331,…,,
,,Eastern Mediterranean Region,EMR,,10.1,,13.7,,23.8,,1.4,,13,,4.5,6.4, 187,…,,
,,Western Pacific Region,WPR,,15.8,,19.7,,35.5,,1.2,,34,,5.8,10.2, 443,…,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,"Figures computed by WHO to improve comparability where appropriate; they are not necessarily the official statistics of Member States, which may use alternative rigorous methods.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,… Data not available or not applicable.,,,,,,,,,,,,,,,,,,
,,aGlobal Health Atlas of infectious diseases. World Health Organization. Data updated with recent information from Regional Office websites and publications. ,,,,,,,,,,,,,,,,,,
,,"bThe World Health Report 2005: make every mother and child count. Geneva, World Health Organization, 2005. (http://www.who.int/whr/2005/en/index.html)",,,,,,,,,,,,,,,,,,
,,"cMortality database. World Health Organization. (http//www3.who.int/whosis/menu.cfm?path=whosis,search,mort&language=english)",,,,,,,,,,,,,,,,,,
